qid,cohort,review_status,primary_label,secondary_label,evidence_note
PLAIN-583,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 44 qrels are level 1 indirect-link judgments; the exported topic title omits the intervening page context.
PLAIN-3241,depth_recoverable_101_1000,reviewed,vocabulary_or_form_mismatch,source_context_dependency,The direct level 2 evidence uses recurrent aphthous ulcers while the query misspells aphthous and uses title wording; first hit is rank 114.
PLAIN-2301,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 13 qrels are level 1 indirect-link judgments; the broad topic title does not identify the linked uterine-health subtopic.
PLAIN-3063,depth_recoverable_101_1000,reviewed,source_context_dependency,,All 4 qrels are level 1 indirect-link judgments; the comparative video title does not name the food or exercise evidence reached through the link graph.
PLAIN-2281,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about cooked greens; the one-word topic title lacks that context.
PLAIN-1353,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 4 qrels are level 1 indirect-link judgments; the one-word topic title does not expose the diet and Western-disease context.
PLAIN-645,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 29 qrels are level 1 indirect-link judgments; the one-word food title does not specify the linked celiac and gluten context.
PLAIN-1972,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 11 qrels are level 1 indirect-link judgments; the one-word topic title does not reveal the linked turmeric evidence.
PLAIN-1214,depth_recoverable_101_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,All 17 qrels are level 1 indirect-link judgments and use bisphosphonate or bone terminology rather than the brand-name topic title.
PLAIN-1429,depth_recoverable_101_1000,reviewed,source_context_dependency,,All 6 qrels are level 1 indirect-link judgments; the exported study-name topic does not identify the linked multivitamin evidence.
PLAIN-1962,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 13 qrels are level 1 indirect-link judgments; the one-word food title does not identify the linked spice and inflammation context.
PLAIN-1547,depth_recoverable_101_1000,reviewed,source_context_dependency,,All 6 qrels are level 1 indirect-link judgments; the topic title omits the alpha-gal and red-meat context used by the linked pages.
PLAIN-751,depth_recoverable_101_1000,reviewed,source_context_dependency,,All 7 qrels are level 1 indirect-link judgments; the topic title does not expose the linked diet and phytoestrogen evidence.
PLAIN-3211,depth_recoverable_101_1000,reviewed,source_context_dependency,,All 18 qrels are level 1 indirect-link judgments; the video title omits the receptor and epithelial-barrier concepts in the cited evidence.
PLAIN-1611,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 6 qrels are level 1 indirect-link judgments; the one-word topic title does not reveal the linked smoke-flavouring evidence.
PLAIN-2970,depth_recoverable_101_1000,reviewed,vocabulary_or_form_mismatch,lexical_competition,The direct level 2 evidence uses cataract risk and vegetarian diet while the query uses preventing and cataracts; the first hit is rank 109.
PLAIN-2167,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about county obesity; the one-word topic title does not identify that target.
PLAIN-3372,depth_recoverable_101_1000,reviewed,source_context_dependency,,The direct level 2 paper concerns antioxidant content of refined-sugar alternatives; the superlative video title omits the comparison criterion.
PLAIN-2396,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 18 qrels are level 1 indirect-link judgments; the institution name alone cannot identify the linked public-health and probiotic evidence.
PLAIN-1028,depth_recoverable_101_1000,reviewed,source_context_dependency,,The only qrel is a level 1 indirect-link judgment for a phytochemical index; the exported topic title does not provide the intervening context.
PLAIN-1485,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 54 qrels are level 1 indirect-link judgments; the one-word food title cannot identify the many linked environmental and dietary papers.
PLAIN-2230,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 7 qrels are level 1 indirect-link judgments; the nutrient name does not expose the linked vegetarian-diet context.
PLAIN-1700,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 5 qrels are level 1 indirect-link judgments; the population label does not identify the linked Western-diet evidence.
PLAIN-1752,depth_recoverable_101_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about cooked greens; the one-word topic title omits the bridging page context.
PLAIN-2209,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments; the one-word food title does not identify the linked Tonga and gut-health evidence.
PLAIN-2311,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments; the one-word meat title does not specify the linked livestock-MRSA evidence.
PLAIN-1679,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,The only qrel is a level 1 indirect-link judgment and describes spinal-cord degeneration rather than using the topic term myelopathy.
